Date,Mining_Bench,Excavator_ID,Destination,Specification,Asset Name,Production,No of Trips,Production_Per_Trip
11/08/2025,Mining Bench 1,EX-189,Coal Stock,Coal,BB-78,19,1,19
16/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-52,152,8,19
26/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-44,19,1,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-45,19,1,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-53,133,7,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,19,1,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-42,19,1,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-43,19,1,19
27/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-44,19,1,19
27/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,19,1,19
27/08/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,19,1,19
27/08/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,57,3,19
28/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,114,6,19
28/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-53,133,7,19
28/08/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,19,1,19
28/08/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,19,1,19
28/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,114,6,19
28/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,247,13,19
29/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-43,57,3,19
29/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-45,19,1,19
29/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-57,19,1,19
29/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-62,19,1,19
29/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-45,19,1,19
29/08/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-42,19,1,19
30/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,228,12,19
30/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,190,10,19
31/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,57,3,19
31/08/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-53,19,1,19
11/09/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-45,38,2,19
11/09/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-56,19,1,19
11/09/2025,Mining Bench 1,EX-189,Coal Stock,Coal,BB-78,19,1,19
20/09/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-78,266,14,19
21/09/2025,Mining Bench 4,EX-145,Coal Stock,Coal,BB-78,19,1,19
21/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-53,19,1,19
23/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,76,4,19
24/09/2025,Mining Bench 2,EX-139,Coal Stock,Coal,BB-52,209,11,19
25/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,361,19,19
26/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,285,15,19
27/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-52,190,10,19
29/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,285,15,19
30/09/2025,Mining Bench 3,EX-141,Coal Stock,Coal,BB-78,589,31,19
